Trend_t+1,t,Open_t,High_t,Low_t,Close_t,Volume_t,Return_t,Gap_t,Adj_Open_t,Adj_High_t,Adj_Low_t,Adj_Close_t,Adj_Volume_t,Adj_Return_t,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Return_t-1,Gap_t-1,Adj_Open_t-1,Adj_High_t-1,Adj_Low_t-1,Adj_Close_t-1,Adj_Volume_t-1,Adj_Return_t-1,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Return_t-2,Gap_t-2,Adj_Open_t-2,Adj_High_t-2,Adj_Low_t-2,Adj_Close_t-2,Adj_Volume_t-2,Adj_Return_t-2,Open_t-3,High_t-3,Low_t-3,Close_t-3,Volume_t-3,Return_t-3,Gap_t-3,Adj_Open_t-3,Adj_High_t-3,Adj_Low_t-3,Adj_Close_t-3,Adj_Volume_t-3,Adj_Return_t-3,Open_t-4,High_t-4,Low_t-4,Close_t-4,Volume_t-4,Return_t-4,Gap_t-4,Adj_Open_t-4,Adj_High_t-4,Adj_Low_t-4,Adj_Close_t-4,Adj_Volume_t-4,Adj_Return_t-4,Open_t-5,High_t-5,Low_t-5,Close_t-5,Volume_t-5,Return_t-5,Gap_t-5,Adj_Open_t-5,Adj_High_t-5,Adj_Low_t-5,Adj_Close_t-5,Adj_Volume_t-5,Adj_Return_t-5
Bullish,9/30/20,164.5,170.98,164.11,165.26,37689023,0.016107553,0.9,164.5,170.98,164.11,165.26,37689023,0.010146699,164.77,165.5,162.01,163.6,19872260,-0.014932563,-1.31,164.77,165.5,162.01,163.6,19872260,-0.014932563,160.33,168,159.2,166.08,38811724,0.06441069,4.3,160.33,168,159.2,166.08,38811724,0.06441069,146.85,156.3116,146.415,156.03,28871385,0.068332763,0.8,146.85,156.3116,146.415,156.03,28871385,0.068332763,150.29,150.31,145.02,146.05,26867441,-0.03393306,-0.89,150.29,150.31,145.02,146.05,26867441,-0.03393306,157.33,160.42,150.89,151.18,18172463,-0.035841837,0.53,157.33,160.42,150.89,151.18,18172463,-0.035841837
Bullish,9/29/20,164.77,165.5,162.01,163.6,19872260,-0.014932563,-1.31,164.77,165.5,162.01,163.6,19872260,-0.014932563,160.33,168,159.2,166.08,38811724,0.06441069,4.3,160.33,168,159.2,166.08,38811724,0.06441069,146.85,156.3116,146.415,156.03,28871385,0.068332763,0.8,146.85,156.3116,146.415,156.03,28871385,0.068332763,150.29,150.31,145.02,146.05,26867441,-0.03393306,-0.89,150.29,150.31,145.02,146.05,26867441,-0.03393306,157.33,160.42,150.89,151.18,18172463,-0.035841837,0.53,157.33,160.42,150.89,151.18,18172463,-0.035841837,156.81,160.0678,154.95,156.8,17716723,0.002878158,0.46,156.81,160.0678,154.95,156.8,17716723,0.002878158
Bearish,9/28/20,160.33,168,159.2,166.08,38811724,0.06441069,4.3,160.33,168,159.2,166.08,38811724,0.06441069,146.85,156.3116,146.415,156.03,28871385,0.068332763,0.8,146.85,156.3116,146.415,156.03,28871385,0.068332763,150.29,150.31,145.02,146.05,26867441,-0.03393306,-0.89,150.29,150.31,145.02,146.05,26867441,-0.03393306,157.33,160.42,150.89,151.18,18172463,-0.035841837,0.53,157.33,160.42,150.89,151.18,18172463,-0.035841837,156.81,160.0678,154.95,156.8,17716723,0.002878158,0.46,156.81,160.0678,154.95,156.8,17716723,0.002878158,157.83,158.83,154.2,156.35,23072929,-0.029725704,-3.31,157.83,158.83,154.2,156.35,23072929,-0.029725704
Bullish,9/25/20,146.85,156.3116,146.415,156.03,28871385,0.068332763,0.8,146.85,156.3116,146.415,156.03,28871385,0.068332763,150.29,150.31,145.02,146.05,26867441,-0.03393306,-0.89,150.29,150.31,145.02,146.05,26867441,-0.03393306,157.33,160.42,150.89,151.18,18172463,-0.035841837,0.53,157.33,160.42,150.89,151.18,18172463,-0.035841837,156.81,160.0678,154.95,156.8,17716723,0.002878158,0.46,156.81,160.0678,154.95,156.8,17716723,0.002878158,157.83,158.83,154.2,156.35,23072929,-0.029725704,-3.31,157.83,158.83,154.2,156.35,23072929,-0.029725704,165.66,169.72,161.02,161.14,22017181,-0.038142422,-1.87,165.66,169.72,161.02,161.14,22017181,-0.038142422
Bullish,9/24/20,150.29,150.31,145.02,146.05,26867441,-0.03393306,-0.89,150.29,150.31,145.02,146.05,26867441,-0.03393306,157.33,160.42,150.89,151.18,18172463,-0.035841837,0.53,157.33,160.42,150.89,151.18,18172463,-0.035841837,156.81,160.0678,154.95,156.8,17716723,0.002878158,0.46,156.81,160.0678,154.95,156.8,17716723,0.002878158,157.83,158.83,154.2,156.35,23072929,-0.029725704,-3.31,157.83,158.83,154.2,156.35,23072929,-0.029725704,165.66,169.72,161.02,161.14,22017181,-0.038142422,-1.87,165.66,169.72,161.02,161.14,22017181,-0.038142422,164.63,168.455,161.05,167.53,19681713,0.00041801,-2.83,164.63,168.455,161.05,167.53,19681713,0.00041801
Bearish,9/23/20,157.33,160.42,150.89,151.18,18172463,-0.035841837,0.53,157.33,160.42,150.89,151.18,18172463,-0.035841837,156.81,160.0678,154.95,156.8,17716723,0.002878158,0.46,156.81,160.0678,154.95,156.8,17716723,0.002878158,157.83,158.83,154.2,156.35,23072929,-0.029725704,-3.31,157.83,158.83,154.2,156.35,23072929,-0.029725704,165.66,169.72,161.02,161.14,22017181,-0.038142422,-1.87,165.66,169.72,161.02,161.14,22017181,-0.038142422,164.63,168.455,161.05,167.53,19681713,0.00041801,-2.83,164.63,168.455,161.05,167.53,19681713,0.00041801,161.95,170.57,160.31,167.46,21844947,0.024282831,-1.54,161.95,170.57,160.31,167.46,21844947,0.024282831
Bearish,9/22/20,156.81,160.0678,154.95,156.8,17716723,0.002878158,0.46,156.81,160.0678,154.95,156.8,17716723,0.002878158,157.83,158.83,154.2,156.35,23072929,-0.029725704,-3.31,157.83,158.83,154.2,156.35,23072929,-0.029725704,165.66,169.72,161.02,161.14,22017181,-0.038142422,-1.87,165.66,169.72,161.02,161.14,22017181,-0.038142422,164.63,168.455,161.05,167.53,19681713,0.00041801,-2.83,164.63,168.455,161.05,167.53,19681713,0.00041801,161.95,170.57,160.31,167.46,21844947,0.024282831,-1.54,161.95,170.57,160.31,167.46,21844947,0.024282831,166.65,168.84,163.33,163.49,14851024,-0.011248866,1.3,166.65,168.84,163.33,163.49,14851024,-0.011248866
Neither,9/21/20,157.83,158.83,154.2,156.35,23072929,-0.029725704,-3.31,157.83,158.83,154.2,156.35,23072929,-0.029725704,165.66,169.72,161.02,161.14,22017181,-0.038142422,-1.87,165.66,169.72,161.02,161.14,22017181,-0.038142422,164.63,168.455,161.05,167.53,19681713,0.00041801,-2.83,164.63,168.455,161.05,167.53,19681713,0.00041801,161.95,170.57,160.31,167.46,21844947,0.024282831,-1.54,161.95,170.57,160.31,167.46,21844947,0.024282831,166.65,168.84,163.33,163.49,14851024,-0.011248866,1.3,166.65,168.84,163.33,163.49,14851024,-0.011248866,161.75,165.94,158.9,165.35,17200721,0.031954066,1.52,161.75,165.94,158.9,165.35,17200721,0.031954066
Bearish,9/18/20,165.66,169.72,161.02,161.14,22017181,-0.038142422,-1.87,165.66,169.72,161.02,161.14,22017181,-0.038142422,164.63,168.455,161.05,167.53,19681713,0.00041801,-2.83,164.63,168.455,161.05,167.53,19681713,0.00041801,161.95,170.57,160.31,167.46,21844947,0.024282831,-1.54,161.95,170.57,160.31,167.46,21844947,0.024282831,166.65,168.84,163.33,163.49,14851024,-0.011248866,1.3,166.65,168.84,163.33,163.49,14851024,-0.011248866,161.75,165.94,158.9,165.35,17200721,0.031954066,1.52,161.75,165.94,158.9,165.35,17200721,0.031954066,158,161.3592,156.32,160.23,14683687,0.016107553,0.31,158,161.3592,156.32,160.23,14683687,0.016107553
Bearish,9/17/20,164.63,168.455,161.05,167.53,19681713,0.00041801,-2.83,164.63,168.455,161.05,167.53,19681713,0.00041801,161.95,170.57,160.31,167.46,21844947,0.024282831,-1.54,161.95,170.57,160.31,167.46,21844947,0.024282831,166.65,168.84,163.33,163.49,14851024,-0.011248866,1.3,166.65,168.84,163.33,163.49,14851024,-0.011248866,161.75,165.94,158.9,165.35,17200721,0.031954066,1.52,161.75,165.94,158.9,165.35,17200721,0.031954066,158,161.3592,156.32,160.23,14683687,0.016107553,0.31,158,161.3592,156.32,160.23,14683687,0.016107553,160.96,163.78,157.57,157.69,14499935,-0.019218808,0.18,160.96,163.78,157.57,157.69,14499935,-0.019218808
