Year,Month,Day,SPY(t+1),Y_pred
2015,7,10,208.990005,207.89574
2015,7,13,209.72000099999997,209.2424
2015,7,15,211.86999500000002,209.97577
2015,7,16,212.289993,211.5466
2015,7,22,211.52999900000003,213.63956
2015,7,29,210.16000400000001,207.19214
2015,8,4,210.44999700000002,209.21759
2015,8,5,210.289993,209.97552
2015,8,17,210.25999500000003,206.85559
2015,8,19,206.509995,207.78838
2015,8,21,187.490005,201.74718
2015,8,26,197.020004,191.70549
2015,9,2,196.259995,194.89154
2015,9,3,192.850006,195.64497
2015,9,11,196.949997,198.75954
2015,9,15,198.820007,198.97038
2015,9,22,194.110001,196.60046
2015,9,23,192.149994,195.36975
2015,9,24,194.639999,193.40794
2015,9,25,191.779999,195.29315
2015,9,28,188.270004,192.46622
2015,9,30,192.080002,190.58995
2015,10,5,198.309998,196.20367
2015,10,30,208.320007,207.56955
2015,11,6,209.309998,209.54001
2015,11,12,204.350006,207.66516
2015,11,17,206.03999299999998,204.98724
2015,11,23,207.869995,209.17336
2015,12,9,205.419998,205.68883
2015,12,10,203.350006,205.92004
2015,12,17,202.770004,206.96497
2015,12,31,200.490005,202.37231
2016,1,5,198.33999599999999,198.99936
2016,1,28,190.020004,191.09996
2016,1,29,192.529999,193.14996
2016,2,1,191.96000700000002,194.72263
2016,2,9,186.41000400000001,186.4584
2016,2,16,191.16000400000001,190.96191
2016,2,25,196.570007,195.5209
2016,2,29,195.009995,196.72731
2016,3,18,204.070007,204.57635
2016,3,30,205.91000400000001,206.9841
2016,4,1,206.830002,205.38411
2016,4,13,208.070007,205.3288
2016,4,21,208.550003,208.09805
2016,4,27,208.46000700000002,208.25931
2016,4,29,206.919998,208.84259
2016,5,10,207.91000400000001,207.51279
2016,5,16,206.46000700000002,205.62357
2016,5,26,209.529999,208.92787
2016,5,27,210.559998,209.71928
2016,6,2,210.25,210.92877
2016,6,8,211.50999500000003,210.67587
2016,6,10,209.360001,210.56442
2016,6,22,209.809998,209.92706
2016,7,11,214.52999900000003,214.65317
2016,7,12,215.440002,215.56166
2016,7,20,216.960007,217.00044
2016,8,1,216.649994,219.50963
2016,8,3,216.309998,216.11389
2016,8,15,218.600006,218.35555
2016,8,16,218.0,217.88138
2016,9,8,216.97000099999997,220.67224
2016,9,13,213.289993,216.90591
2016,9,14,212.960007,213.58041
2016,9,19,214.41000400000001,213.48782
2016,9,20,214.24000499999997,215.79034
2016,9,27,215.830002,214.71555
2016,9,29,215.649994,214.8393
2016,10,3,215.91000400000001,215.6128
2016,10,6,216.100006,215.45108
2016,10,10,215.66000400000001,214.75272
2016,10,12,212.16000400000001,212.92717
2016,10,21,215.0,215.3893
